a,b,c,alpha,beta,gamma,structure type,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
3.137,3.137,3.137,90.0,90.0,90.0,cubic,0.629912136113951,0.8600497198387721,-1.0,7.0,5.0,0.0,1.56850004196167,0.6496939659118652,0.0,4.149861042424954,1.4527598723503619,0.0,1.6038325219485636,0.42755842006623335,0.0,0.0,0.0,0.0
7.046,7.046,7.046,90.0,90.0,90.0,cubic,0.4991599141411018,0.6004190252638832,-1.0,7.0,5.0,0.0,3.5230000019073486,1.4592745304107666,0.0,9.320981873926923,3.263037047832558,0.0,5.39884897456399,1.4392549027235688,0.0,0.0,0.0,0.0
4.382,4.382,4.382,90.0,90.0,90.0,cubic,0.5684119311282216,0.7297152973155593,-1.0,7.0,5.0,0.0,2.190999984741211,0.9075419902801514,0.0,5.796841082171557,2.0293255827018717,0.0,2.647864612649599,0.7058823225601852,0.0,0.0,0.0,0.0
8.868,8.868,8.868,90.0,90.0,90.0,cubic,0.4713519196506157,0.5529738700924534,-1.0,7.0,5.0,0.0,4.434000015258789,1.836622714996338,0.0,11.731261353631355,4.106813239752034,0.0,7.622997004829931,2.032179849196996,0.0,0.0,0.0,0.0
5.265,5.265,5.265,90.0,90.0,90.0,cubic,0.539482910764697,0.6736457948823139,-1.0,7.0,5.0,0.0,2.632499933242798,1.0904173851013184,0.0,6.96494014975458,2.438247396934114,0.0,3.48726352236519,0.9296540472227128,0.0,0.0,0.0,0.0
4.054,4.054,4.054,90.0,90.0,90.0,cubic,0.5816301727140035,0.7563970712663927,-1.0,7.0,5.0,0.0,2.0269999504089355,0.8396110534667969,0.0,5.362937776322301,1.8774273902119683,0.0,2.3562036304774487,0.6281298534961095,0.0,0.0,0.0,0.0
3.245,3.245,3.245,90.0,90.0,90.0,cubic,0.6230849448782728,0.8447696616379311,-1.0,7.0,5.0,0.0,1.622499942779541,0.6720614433288574,0.0,4.292731350811194,1.5027750723399478,0.0,1.6873658252400945,0.4498271705069784,0.0,0.0,0.0,0.0
3.753,3.753,3.753,90.0,90.0,90.0,cubic,0.5953589061862214,0.7848544129282471,-1.0,7.0,5.0,0.0,1.8765000104904175,0.7772716283798218,0.0,4.96475236296774,1.7380321980392361,0.0,2.098722751069027,0.559488851471689,0.0,0.0,0.0,0.0
6.768,6.768,6.768,90.0,90.0,90.0,cubic,0.5043680011158654,0.6095732203927849,-1.0,7.0,5.0,0.0,3.384000062942505,1.4016988277435303,0.0,8.95322260317279,3.134293862816302,0.0,5.082504330984623,1.3549219513658044,0.0,0.0,0.0,0.0
6.842,6.842,6.842,90.0,90.0,90.0,cubic,0.5029503901519453,0.6070728921843364,-1.0,7.0,5.0,0.0,3.4210000038146973,1.4170246124267578,0.0,9.051115245244704,3.168563359176524,0.0,5.166088309045012,1.3772040910904606,0.0,0.0,0.0,0.0
