a,b,c,alpha,beta,gamma,structure type,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
7.085,7.085,7.085,90.0,90.0,90.0,cubic,0.49845414069220156,0.5991852097732707,-1.0,7.0,5.0,0.0,3.5425000190734863,1.4673514366149902,0.0,9.372574069910014,3.281097559153092,0.0,5.443735375234552,1.4512205717909283,0.0,0.0,0.0,0.0
7.142,7.142,7.142,90.0,90.0,90.0,cubic,0.4974331255455739,0.5974030480813614,-1.0,7.0,5.0,0.0,3.571000099182129,1.479156494140625,0.0,9.4479781942229,3.307494470258707,0.0,5.509561143530226,1.4687686717410262,0.0,0.0,0.0,0.0
6.74,6.74,6.74,90.0,90.0,90.0,cubic,0.5049105542721892,0.6105318756229916,-1.0,7.0,5.0,0.0,3.369999885559082,1.395899772644043,0.0,8.916181615505462,3.121326781408581,0.0,5.050996213080109,1.3465223566163482,0.0,0.0,0.0,0.0
4.25,4.25,4.25,90.0,90.0,90.0,cubic,0.5735361473723954,0.7399771699739139,-1.0,7.0,5.0,0.0,2.125,0.8802037239074707,0.0,5.622221536012255,1.9681953607055613,0.0,2.5291268679820855,0.6742283598276666,0.0,0.0,0.0,0.0
3.012,3.012,3.012,90.0,90.0,90.0,cubic,0.6383142207279461,0.8791531275119955,-1.0,7.0,5.0,0.0,1.50600004196167,0.6238055229187012,0.0,3.9845015854834167,1.3948715539860188,0.0,1.508932072710843,0.4022592476255586,0.0,0.0,0.0,0.0
6.151,6.151,6.151,90.0,90.0,90.0,cubic,0.5171820095800523,0.6324718719898468,-1.0,7.0,5.0,0.0,3.075500011444092,1.273913860321045,0.0,8.137008187457369,2.8485579891570283,0.0,4.403579215090315,1.173930288408017,0.0,0.0,0.0,0.0
7.556,7.556,7.556,90.0,90.0,90.0,cubic,0.4903695847836645,0.5851637148701478,-1.0,7.0,5.0,0.0,3.7780001163482666,1.5648987293243408,0.0,9.995648761030601,3.4992199366722696,0.0,5.995496643220453,1.5983120385214267,0.0,0.0,0.0,0.0
8.026,8.026,8.026,90.0,90.0,90.0,cubic,0.48302434505045444,0.5726007484112154,-1.0,7.0,5.0,0.0,4.013000011444092,1.6622390747070312,0.0,10.617400041580423,3.716879565901273,0.0,6.563507036628,1.749735666249594,0.0,0.0,0.0,0.0
3.512,3.512,3.512,90.0,90.0,90.0,cubic,0.607698907523497,0.8111063957721611,-1.0,7.0,5.0,0.0,1.75600004196167,0.7273590564727783,0.0,4.645939413249565,1.6264242943232408,0.0,1.899848615231817,0.5064720572491039,0.0,0.0,0.0,0.0
6.335,6.335,6.335,90.0,90.0,90.0,cubic,0.5131619633545066,0.6252298511672305,-1.0,7.0,5.0,0.0,3.1675000190734863,1.312021255493164,0.0,8.380417328260792,2.9337687152073344,0.0,4.602641542250138,1.226997054280451,0.0,0.0,0.0,0.0
4.561,4.561,4.561,90.0,90.0,90.0,cubic,0.5618412320270473,0.7167052653114692,-1.0,7.0,5.0,0.0,2.2804999351501465,0.9446141719818115,0.0,6.033635693306214,2.1122215010610077,0.0,2.811753925031604,0.7495729387925514,0.0,0.0,0.0,0.0
4.557,4.557,4.557,90.0,90.0,90.0,cubic,0.561983587249324,0.7169855069936969,-1.0,7.0,5.0,0.0,2.2785000801086426,0.9437854290008545,0.0,6.028344574208216,2.110368375419712,0.0,2.8080561389326757,0.7485867154337531,0.0,0.0,0.0,0.0
8.715,8.715,8.715,90.0,90.0,90.0,cubic,0.47334737276936706,0.5563002975971264,-1.0,7.0,5.0,0.0,4.357500076293945,1.8049354553222656,0.0,11.52886153981876,4.0359583731001205,0.0,7.426570682304417,1.9798155357870897,0.0,0.0,0.0,0.0
6.47,6.47,6.47,90.0,90.0,90.0,cubic,0.5103241925728395,0.6201498354223798,-1.0,7.0,5.0,0.0,3.234999895095825,1.3399808406829834,0.0,8.559005213743593,2.9962882483144666,0.0,4.750547010056989,1.2664268129481866,0.0,0.0,0.0,0.0
7.338,7.338,7.338,90.0,90.0,90.0,cubic,0.49401416166908824,0.591459211007458,-1.0,7.0,5.0,0.0,3.6689999103546143,1.5197498798370361,0.0,9.707261323116587,3.3982640401127497,0.0,5.737910441945646,1.5296440801803706,0.0,0.0,0.0,0.0
8.825,8.825,8.825,90.0,90.0,90.0,cubic,0.47190754171320787,0.5538988875234339,-1.0,7.0,5.0,0.0,4.412499904632568,1.8277173042297363,0.0,11.674377407754,4.086900135910354,0.0,7.56761931920034,2.017417339115393,0.0,0.0,0.0,0.0
